Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a9d625f5
257,Diego Godín,uy URU,DF,Atlético Mineiro,35,1986,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,fc4f85b1
258,Bruno Gomes,br BRA,MF,Coritiba,20,2001,16.6,0.06,1.33,0.24,18.2,1.32,0.24,0.05,0.25,25.6,0.06,0.00,0.00,0.05,0.05,0.04,0.01,0.01,Matches,76f2bbf8
259,Igor Gomes,br BRA,MF,São Paulo,22,1999,22.9,0.00,1.00,0.17,17.4,1.00,0.17,0.00,0.00,18.9,0.04,0.00,0.00,0.06,0.06,0.06,-0.06,-0.06,Matches,6a7fb945
260,Igor Gomes,br BRA,DF,Internacional,20,2001,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,509d5b3d
261,João Gomes,br BRA,MF,Flamengo,20,2001,20.9,0.00,0.81,0.24,29.4,0.81,0.24,0.00,0.00,22.6,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches,8b57ad2c
262,Gustavo Gómez,py PAR,DF,Palmeiras,28,1993,30.0,0.30,0.87,0.47,53.8,0.87,0.47,0.31,0.57,8.8,0.00,0.03,0.03,0.15,0.12,0.14,0.15,0.14,Matches,d5ce52a5
263,Aloísio dos Santos Gonçalves,cn CHN,FWMF,América (MG),33,1988,10.5,0.38,3.05,1.33,43.8,3.03,1.33,0.09,0.21,16.0,0.10,0.10,0.10,0.44,0.36,0.12,-0.06,-0.08,Matches,9851b2e0
264,Diego Gonçalves,br BRA,FW,Botafogo (RJ),27,1994,5.4,0.37,1.67,0.56,33.3,1.68,0.56,0.00,0.00,21.9,0.19,0.37,0.37,0.41,0.13,0.07,-0.04,-0.13,Matches,c707fc37
265,Matheus Gonçalves,br BRA,FW,Flamengo,16,2005,0.3,0.00,3.33,0.00,0.0,3.33,0.00,0.00,,15.1,0.00,0.00,0.00,0.33,0.33,0.10,-0.33,-0.33,Matches,071a6836
266,Ricardo Goulart,br BRA,MFFW,Santos,30,1991,4.5,0.00,1.33,0.22,16.7,1.34,0.22,0.00,0.00,11.5,0.00,0.00,0.00,0.18,0.18,0.13,-0.18,-0.18,Matches,f053730b
267,Daniel Guedes,br BRA,DFMF,Cuiabá,27,1994,8.8,0.00,0.68,0.00,0.0,0.68,0.00,0.00,,23.0,0.11,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches,25f61bc3
268,Roger Guedes,br BRA,FWMF,Corinthians,25,1996,28.3,0.35,2.93,1.13,38.6,2.93,1.13,0.11,0.28,17.4,0.67,0.04,0.04,0.37,0.35,0.12,-0.02,-0.03,Matches,612a9dd7
269,Paolo Guerrero,pe PER,FW,Avaí,38,1984,4.8,0.00,3.33,0.83,25.0,3.34,0.84,0.00,0.00,15.2,0.00,0.00,0.00,0.33,0.33,0.10,-0.33,-0.33,Matches,ae6657a1
270,Guga,br BRA,DF,Atlético Mineiro,23,1998,18.6,0.00,0.75,0.05,7.1,0.75,0.05,0.00,0.00,26.1,0.05,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,6975a3e1
271,Marcos Guilherme,br BRA,FWMF,São Paulo,26,1995,6.4,0.16,1.41,0.47,33.3,1.40,0.47,0.11,0.33,19.6,0.00,0.00,0.00,0.14,0.14,0.10,0.02,0.02,Matches,d5ff6084
272,Marcos Guilherme,br BRA,MF,Santos,26,1995,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,d5ff6084
273,Gustavinho,br BRA,MF,América (MG),20,2001,4.3,0.00,0.93,0.23,25.0,0.92,0.23,0.00,0.00,20.6,0.23,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches,69896b0e
